_id,account_id,limit,products
5ca4bbc7a2dd94ee5816238c,371138,9000,"[""Derivatives"",""InvestmentStock""]"
5ca4bbc7a2dd94ee5816238d,557378,10000,"[""InvestmentStock"",""Commodity"",""Brokerage"",""CurrencyService""]"
5ca4bbc7a2dd94ee5816238e,198100,10000,"[""Derivatives"",""CurrencyService"",""InvestmentStock""]"
5ca4bbc7a2dd94ee5816238f,674364,10000,"[""InvestmentStock""]"
5ca4bbc7a2dd94ee58162390,278603,10000,"[""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee58162391,383777,10000,"[""CurrencyService"",""Derivatives"",""InvestmentFund"",""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee58162392,794875,9000,"[""InvestmentFund"",""InvestmentStock""]"
5ca4bbc7a2dd94ee58162393,328304,10000,"[""Derivatives"",""InvestmentStock"",""CurrencyService""]"
5ca4bbc7a2dd94ee58162394,487188,10000,"[""Brokerage"",""CurrencyService"",""InvestmentStock""]"
5ca4bbc7a2dd94ee58162395,910579,10000,"[""Brokerage"",""InvestmentStock""]"
5ca4bbc7a2dd94ee58162396,260499,10000,"[""InvestmentFund"",""Derivatives"",""InvestmentStock""]"
5ca4bbc7a2dd94ee58162397,668949,10000,"[""Brokerage"",""CurrencyService"",""InvestmentStock"",""Derivatives""]"
5ca4bbc7a2dd94ee58162398,976027,10000,"[""Brokerage"",""InvestmentStock""]"
5ca4bbc7a2dd94ee58162399,135185,10000,"[""CurrencyService"",""Brokerage"",""InvestmentStock"",""Commodity""]"
5ca4bbc7a2dd94ee5816239a,370583,10000,"[""Brokerage"",""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee5816239b,870466,10000,"[""Derivatives"",""Brokerage"",""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee5816239c,692278,10000,"[""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee5816239d,864905,10000,"[""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee5816239e,299072,10000,"[""InvestmentFund"",""InvestmentStock""]"
5ca4bbc7a2dd94ee5816239f,137994,10000,"[""CurrencyService"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623a0,572981,10000,"[""InvestmentStock"",""CurrencyService""]"
5ca4bbc7a2dd94ee581623a1,977982,10000,"[""InvestmentFund"",""Derivatives"",""InvestmentStock"",""CurrencyService""]"
5ca4bbc7a2dd94ee581623a2,616040,10000,"[""InvestmentStock""]"
5ca4bbc7a2dd94ee581623a3,775273,10000,"[""Brokerage"",""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623a4,212024,10000,"[""InvestmentFund"",""Brokerage"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623a5,433811,10000,"[""CurrencyService"",""InvestmentFund"",""Brokerage"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623a6,353465,10000,"[""CurrencyService"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623a7,464470,10000,"[""Brokerage"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623a9,324287,10000,"[""Commodity"",""CurrencyService"",""Derivatives"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623aa,403363,10000,"[""CurrencyService"",""InvestmentFund"",""InvestmentStock"",""Derivatives""]"
5ca4bbc7a2dd94ee581623ac,276528,10000,"[""InvestmentFund"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623ad,383701,10000,"[""InvestmentFund"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623ae,423171,10000,"[""Brokerage"",""CurrencyService"",""Derivatives"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623af,491860,10000,"[""CurrencyService"",""Commodity"",""InvestmentStock""]"
5ca4bbc7a2dd94ee581623b0,463155,10000,"[""Brokerage"",""InvestmentFund"",""InvestmentStock""]"
